gia_ban,loai_hinh,dien_tich_dat,giay_to_phap_ly,so_phong_ngu,so_phong_ve_sinh,tong_so_tang,tinh_trang_noi_that,dac_diem,chieu_ngang,duong_lon,vi_tri_dat,garage,san_vuon,hai_mat_tien,view,vi_tri_trung_tam,truong_hoc,san_bay,benh_vien,sieu_thi,giao_thong,giai_tri,dia_diem_dac_biet,phuong,gia_m2_tham_khao
5980000000.0,"Nhà ngõ, hẻm",32.0,Đã có sổ,3.0,3.0,3.0,Nội thất đầy đủ,Nhà nở hậu,4.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Phường Bình Thạnh,147.5
7000000000.0,Nhà phố liền kề,30.0,Đã có sổ,5.0,4.0,5.0,Nội thất cao cấp,Thông thường,5.0,True,False,False,True,False,False,True,False,True,False,True,False,False,False,Phường Bình Lợi Trung,151.05
8000000000.0,"Nhà ngõ, hẻm",63.6,Đã có sổ,5.0,4.0,4.0,Nội thất đầy đủ,Thông thường,5.2,False,False,False,True,False,False,True,False,False,False,True,False,False,False,Phường Bình Thạnh,110.0
3980000000.0,"Nhà ngõ, hẻm",17.0,Đã có sổ,2.0,3.0,3.0,Nội thất cao cấp,Nhà nở hậu,3.5,False,True,False,True,False,True,True,True,False,False,False,False,False,False,Phường Gia Định,144.55
4680000000.0,"Nhà ngõ, hẻm",35.0,Đã có sổ,2.0,2.0,2.0,Nội thất cao cấp,Thông thường,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Phường Bình Thạnh,171.74
22000000000.0,Nhà biệt thự,120.0,Đã có sổ,5.0,6.0,6.0,Nội thất đầy đủ,Hẻm xe hơi,6.0,False,False,False,True,False,False,True,True,False,False,False,False,False,False,Phường Bình Lợi Trung,151.05
3900000000.0,"Nhà ngõ, hẻm",20.0,Đã có sổ,2.0,2.0,2.0,Nội thất đầy đủ,Thông thường,3.8,True,False,False,False,False,False,True,True,False,True,False,False,False,False,Phường Bình Lợi Trung,151.05
6250000000.0,"Nhà ngõ, hẻm",27.0,Đã có sổ,3.0,4.0,3.0,Nội thất cao cấp,Thông thường,4.0,False,False,False,False,False,False,True,True,False,True,True,False,False,False,Phường Gia Định,180.95
7300000000.0,"Nhà ngõ, hẻm",54.0,Đã có sổ,3.0,3.0,2.0,Không rõ,Hẻm xe hơi,6.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Phường Thạnh Mỹ Tây,176.33
6190000000.0,"Nhà ngõ, hẻm",50.0,Đã có sổ,2.0,2.0,2.0,Hoàn thiện cơ bản,Hẻm xe hơi,4.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Phường Bình Lợi Trung,135.15
7890000000.0,"Nhà ngõ, hẻm",56.0,Đã có sổ,2.0,2.0,2.0,Hoàn thiện cơ bản,Thông thường,4.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Phường Bình Lợi Trung,158.1
7790000000.0,"Nhà ngõ, hẻm",78.0,Đã có sổ,2.0,2.0,2.0,Hoàn thiện cơ bản,Hẻm xe hơi,6.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,Phường Bình Thạnh,147.06
5500000000.0,"Nhà ngõ, hẻm",44.0,Đã có sổ,2.0,2.0,2.0,Không rõ,Hẻm xe hơi,3.6,False,False,False,False,False,False,False,True,False,False,True,False,False,False,Phường Bình Thạnh,140.0
2750000000.0,"Nhà ngõ, hẻm",14.0,Đã có sổ,2.0,2.0,3.0,Nội thất đầy đủ,Thông thường,3.6,False,False,False,False,False,False,True,True,False,False,True,True,False,False,Phường Bình Thạnh,145.23
5650000000.0,"Nhà ngõ, hẻm",32.0,Đã có sổ,2.0,3.0,3.0,Không rõ,Thông thường,4.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,Phường Gia Định,119.52
